title,published_at,sentiment,url,currencies,source
"High-throughput Ethereum scaler MegaETH debuts public testnet, hitting 20,000 TPS on day one",2025-03-21 23:04:15+00:00,neutral,https://cryptopanic.com/news/20858960/High-throughput-Ethereum-scaler-MegaETH-debuts-public-testnet-hitting-20000-TPS-on-day-one?mtm_campaign=API-OFA,['ETH'],The Block
"High-throughput Ethereum scaler MegaETH debuts public testnet, hitting 20,000 TPS on day one",2025-03-21 23:04:15+00:00,neutral,https://cryptopanic.com/news/20858960/High-throughput-Ethereum-scaler-MegaETH-debuts-public-testnet-hitting-20000-TPS-on-day-one?mtm_campaign=API-OFA,['ETH'],The Block
"High-throughput Ethereum scaler MegaETH debuts public testnet, hitting 20,000 TPS on day one",2025-03-21 23:04:15+00:00,neutral,https://cryptopanic.com/news/20858960/High-throughput-Ethereum-scaler-MegaETH-debuts-public-testnet-hitting-20000-TPS-on-day-one?mtm_campaign=API-OFA,['ETH'],The Block
"High-throughput Ethereum scaler MegaETH debuts public testnet, hitting 20,000 TPS on day one",2025-03-21 23:04:15+00:00,neutral,https://cryptopanic.com/news/20858960/High-throughput-Ethereum-scaler-MegaETH-debuts-public-testnet-hitting-20000-TPS-on-day-one?mtm_campaign=API-OFA,['ETH'],The Block
"High-throughput Ethereum scaler MegaETH debuts public testnet, hitting 20,000 TPS on day one",2025-03-21 23:04:15+00:00,neutral,https://cryptopanic.com/news/20858960/High-throughput-Ethereum-scaler-MegaETH-debuts-public-testnet-hitting-20000-TPS-on-day-one?mtm_campaign=API-OFA,['ETH'],The Block
"High-throughput Ethereum scaler MegaETH debuts public testnet, hitting 20,000 TPS on day one",2025-03-21 23:04:15+00:00,neutral,https://cryptopanic.com/news/20858960/High-throughput-Ethereum-scaler-MegaETH-debuts-public-testnet-hitting-20000-TPS-on-day-one?mtm_campaign=API-OFA,['ETH'],The Block
"High-throughput Ethereum scaler MegaETH debuts public testnet, hitting 20,000 TPS on day one",2025-03-21 23:04:15+00:00,neutral,https://cryptopanic.com/news/20858960/High-throughput-Ethereum-scaler-MegaETH-debuts-public-testnet-hitting-20000-TPS-on-day-one?mtm_campaign=API-OFA,['ETH'],The Block
"High-throughput Ethereum scaler MegaETH debuts public testnet, hitting 20,000 TPS on day one",2025-03-21 23:04:15+00:00,neutral,https://cryptopanic.com/news/20858960/High-throughput-Ethereum-scaler-MegaETH-debuts-public-testnet-hitting-20000-TPS-on-day-one?mtm_campaign=API-OFA,['ETH'],The Block
"High-throughput Ethereum scaler MegaETH debuts public testnet, hitting 20,000 TPS on day one",2025-03-21 23:04:15+00:00,neutral,https://cryptopanic.com/news/20858960/High-throughput-Ethereum-scaler-MegaETH-debuts-public-testnet-hitting-20000-TPS-on-day-one?mtm_campaign=API-OFA,['ETH'],The Block
"High-throughput Ethereum scaler MegaETH debuts public testnet, hitting 20,000 TPS on day one",2025-03-21 23:04:15+00:00,neutral,https://cryptopanic.com/news/20858960/High-throughput-Ethereum-scaler-MegaETH-debuts-public-testnet-hitting-20000-TPS-on-day-one?mtm_campaign=API-OFA,['ETH'],The Block
